	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
protein11	1.82044136314223	1.53989093523133	1.56641889270982	1.5601987238096	1.7228675949597	1.6505237735536	1.76751440745263	2.05504964514294	1.54406141869512	1.58687144960328	2.1588968557343	1.65208313472277	1.73767542252225	1.61614661689676	1.80638608107457	1.83799828815545	1.88413149683407	1.90632465216903	2.11028776321434	1.96080005016191	2.06179180877423	1.54815844650394	1.94333730994586	1.90994448969261	1.50080458270348	2.37422921968624	2.02965848780736	1.85852246179905	1.74017724113871	1.85355647857237	2.04413220107932	2.33667661046439	1.84733029818746	1.6465319031821	1.4695970693464	1.72836773959899	1.65497114567738	1.72214601473545	2.11654531202616	1.74938594138659	1.8528208598455	1.42992304224314	1.85002560662866	1.70806930439825	1.88984942470335	2.05656356758484	2.29109151469162	1.7051345836718	1.49389753635058	1.45850652232848	1.54253844273586	1.27297946628814	1.32689572633061	1.37006959173502	1.48996385351336	1.3553481519701	1.5079254578653	1.79341796835166	1.61975034504267	1.57852384262718	1.70849676817504	1.53203963339894	1.47441818440126	1.424047289925	1.56476637545666	1.42104836792083	1.57332562302447	1.37409973769095	1.90598823804737	1.58488662697278	1.52798456937427	1.60215974204157	1.53942343558378	1.46108519749138	1.56790995488493	1.75082232072956	1.55639889924356	1.56446940068581	1.70831075482036	1.81899157789402
protein12	1.62498377960841	1.52068119380643	1.81206858805306	1.75531859654053	1.4709091086116	2.030644102354	1.69453376745399	2.29212387002224	1.41033434390784	1.66997614260821	2.30276250667098	1.61706708600301	1.79423027791109	1.6582559069934	1.77541429008147	1.86786270039215	1.53498971366724	1.64362906807576	1.54505153741799	2.32916694878448	1.75698339763809	1.53013773424616	1.64866449669088	1.65273763195655	1.46661011787639	1.74482309294353	1.70858844134788	1.619927967647	1.50348846187479	1.56415110109487	2.0533918713117	1.80748710643286	1.57038363233466	1.46667215073321	1.53773192026122	1.57813748212047	1.74277363410546	1.51338315552346	1.57818673171766	1.43382296951378	1.65074100360198	1.38328811658213	1.84835136350499	1.5861704636331	1.50507660964967	1.93781290672148	1.84668425692118	1.71122984217224	1.53266764086535	1.44923187048255	1.56307507708389	1.48125784380485	1.53167951556413	1.50072366338348	1.40462226830308	1.49353355613674	1.58915930719433	1.77371074227554	1.87852637485009	1.99838212759111	1.68646808785244	1.82776641241435	1.63257340343808	1.49211999299962	1.46888323040105	1.81022183394354	1.48713330428288	1.48039984835829	1.47385916749291	1.50398802985408	1.39771084760503	1.57489367670549	1.54349958421389	1.33043548653892	1.64009345092505	1.52301324240246	1.54183065800462	1.63648842414295	1.73565344198469	1.56441429295427
protein13	1.5343926397989	1.49241185476185	1.65251994292406	1.51702357261656	1.44182591762163	1.69248749432396	1.56028441381534	1.57832029255758	1.46477684069743	1.57295212906041	1.6818376934786	1.66436818305794	1.7203549770231	1.70823907977239	1.65492297417236	1.60448119351944	1.54613385890511	1.87338205870972	1.68729368083039	2.14228946358394	1.61568665591857	1.52633793937329	1.72098423870666	1.62201109577524	1.48352287037874	1.84827096839637	1.66317759372966	1.68575240309542	1.51854583527059	1.73171101246661	1.93370143358347	1.69937323635152	1.55500369144217	1.48375018447589	1.37820383563508	1.7399973028441	1.49403955930596	1.6466660128389	1.49160200138656	1.61077072371674	1.32603988248771	1.51141663325741	1.57999758542546	1.47191775015325	1.30074821014802	1.56283450397443	1.4223646247873	1.31697558355156	1.48923026306836	1.43052389747278	1.59868874992556	1.46024768454062	1.30209461987564	1.47338702017729	1.11167670810627	1.42235653897357	1.57206432847907	1.53764007154007	2.01670915173095	2.00405412543036	1.30605443826457	1.53660436515719	1.61990938005466	1.59676877723245	1.46270704899855	1.44505533146723	1.63718873145233	1.54487605390097	1.28105363198223	1.53557257124415	1.5485349206584	1.42877324205882	1.68356485407654	1.32435664369866	1.77028977960964	1.66039416796317	1.4303927290394	1.68079310669517	1.57715382168302	1.45965374876652
protein14	1.67781632158221	1.56841498688956	1.55378920940564	1.52491045918074	1.66843932113941	1.71592179959362	1.70232314006016	1.97797676458545	1.6201448175261	1.47602008747723	2.0268884730714	1.51102559316927	1.74202268801131	1.49544576896195	1.81011021927616	1.8535226127083	1.7617517202389	1.8422314023652	2.09839812683207	1.60161335640986	2.08647136784782	1.51265610916486	1.92033478350669	1.88906775274883	1.50164057068879	2.39771736448707	1.96997105051358	1.85319895577812	1.68127165092159	1.7993259347891	1.94303687064463	2.2647572668564	1.65047237463665	1.51586689871842	1.3369174825811	1.54997870692417	1.47350005020396	1.46461219265525	1.86156683105283	1.65290818142294	1.90515426878643	1.20714941465447	1.63063052192781	1.54652920047732	1.63422705955512	1.96719816855621	2.15075247343365	1.63767899257191	1.47947047292764	1.38406665717074	1.54290672523116	1.21448751243285	1.31013506801417	1.26267588465665	1.51431882799157	1.28401572677513	1.43784079007278	1.61117717499992	1.52815609583461	1.74860167860486	1.5295078947038	1.56474640362067	1.34422477850631	1.27587761677867	1.45891172858491	1.34613533325642	1.4346737439771	1.24918508662128	1.74024158284925	1.29204217621791	1.27988564392734	1.4349537638121	1.36756740904977	1.29879529997194	1.3806158471344	1.50810929350344	1.31291504429446	1.40783935741577	1.45677655047203	1.74800178380501
protein15	1.66306241150291	1.00243816578545	1.26404327957813	1.11940858148442	1.4365488161845	1.33173846714802	1.32021770229091	1.13821623795466	1.83561197639244	1.1814188236945	1.80217530115722	1.2072082564725	1.49259838447867	1.11718352577779	1.35101112824465	1.10869120153477	1.6414788286653	1.83237863452454	1.47576894108793	2.02091806950748	1.3173676697664	1.42551115939962	1.30825655195441	2.11095959314106	1.11200768917337	1.96959257571177	1.37029892970778	1.65028761344399	1.11437424718341	1.32129416555946	1.30448279326584	1.51010238374973	1.75696830575525	1.57933160912258	1.40811139233587	1.46700285383434	1.46282283748829	1.60130864776758	1.70306396913149	2.43140698211447	2.47727799770186	1.36615141377522	1.67138033100807	1.60446782533155	1.74712334829138	1.78052470763034	1.89186426253169	1.53932140421011	1.568865362986	1.68249706510715	1.42639582623394	1.28507009834115	1.17770703623994	1.80761673873895	1.35460185841511	1.19146290493463	1.17259247163688	1.22756634430151	1.24833677523076	1.40991247719961	1.34923098912375	1.26200188121198	1.54559168333925	1.23808355793199	1.50080191449954	1.3769828106761	1.27541424915897	1.18531146434273	1.30181541098597	1.42849854292431	1.55222037429489	1.64621795760681	1.35142034678979	1.64100707087748	1.29234900240253	1.44844180842561	1.57850021852556	1.54035856197724	1.24603777795139	1.85706606661699
protein16	1.69664701003119	1.81318171154873	1.83843098427988	1.75244055747135	1.50241047151144	1.89781236753539	1.75382074927537	1.6418701309206	1.35483472359866	1.52370532037469	1.61394294794286	1.75357711622298	1.65330923867908	1.89094875503921	1.6142709133202	1.69294684890696	1.8832152784824	2.09561985872847	1.81090729380706	2.98639164300396	1.85252732603349	1.70420071958931	1.91728623344114	1.82487791747805	1.76691790943045	1.90853980898129	1.83172065848699	1.74184714847702	1.69693285771221	1.99848196761872	2.2856130355599	1.94224044922718	1.84031534548658	1.6609207944704	1.63203387078764	1.94715833840494	1.84588817215407	2.00968777443279	1.87207941817994	2.01603887301268	1.80588068572593	1.77620854905251	2.05346477586861	2.03778603852849	1.68655558110584	2.15977532806715	1.94827665246297	1.63366323806998	1.54975246622352	1.42165789664236	1.52478359183524	1.67838785788358	1.33884795766793	1.55481824019693	1.24948179897349	1.55457784053926	1.57081252516704	1.63503423107976	2.07212398591401	2.24150027356993	1.46177077162937	1.79029968971742	1.74144103088715	1.71663013767943	1.6405331242963	1.76571742020904	1.72052941755092	1.60605290139808	1.48868480821064	1.74808124148057	1.65087551815993	1.56953515126001	1.68783799263597	1.386122492576	2.01431685244195	1.77895578412716	1.52231277362331	1.86427742217322	1.74713011346631	1.45962970199117
protein17	1.50585160467527	1.62552377463647	1.51354693492294	1.53572153914938	1.51223269971689	1.6629192485576	1.53082138618278	1.27999160799966	1.6910166929563	1.53606177470566	1.69610099080737	1.67037511596195	1.69204608119423	1.6842514831233	1.59369752724924	1.47081357785059	1.56648802743526	1.86596178132057	1.61579476275369	1.96800108543645	1.53207248371857	1.61533224924608	1.53408685834268	1.77212362783368	1.46616067268326	1.84209848030525	1.5370915009082	1.74479392056535	1.43526556383005	1.72467912080981	1.626616775548	1.68351467609148	1.66972194708395	1.61261626113336	1.56042162549663	1.84181386347514	1.69261026007471	1.88579769327923	1.59972113878575	2.32741744054258	1.9855979053455	1.82603759544145	1.64620139771695	1.99253336486392	1.7696634677775	1.84272602366055	1.76153114933982	1.70665734835603	1.44709662749932	1.57127080248757	1.42822973801534	1.54440126003456	1.38786263363077	1.63108130998378	1.27553386068624	1.5462225261231	1.50187699705654	1.58408292120475	1.58337790529185	1.61326127208568	1.39612285688807	1.50155275852543	1.6360377259221	1.58492828484723	1.55430209558491	1.65063476058842	1.65131050818276	1.6665836518677	1.59130271755859	1.82262169180982	1.90773004314537	1.744836526044	1.78186387317687	1.63948645681628	1.71408894798031	1.66201987895173	1.72817118777248	1.81757426675458	1.63623986143229	1.66061110192425
protein18	1.5112285744165	1.31322458847414	1.49528994581364	1.39633762264793	1.6395979709339	1.55216873651106	1.55713550048563	1.9279339076129	1.58842876977396	1.41971431603491	1.82015386614859	1.63131144701144	1.62535978628972	1.47705918233027	1.75062439073294	1.51678583041892	1.6619194421545	1.84453663727094	1.62813949890851	0.643625460393554	2.00581848251155	1.53602092082646	1.627432534263	1.68353230928691	1.30877046370728	1.78084695685114	1.75740169635712	1.77038988285969	1.47446966950514	1.68951511779917	1.66664788718755	2.10428837902739	1.5937225762504	1.50428689651271	1.30973838490941	1.58673372392114	1.5622246611444	1.69593688395025	1.68264688236442	1.69563298573264	1.85300156066695	1.36554418246803	1.68619872150265	1.67065874301119	1.63146368366366	2.03322423218573	2.18636134144044	1.5985237652928	1.54365496693615	1.6361455100314	1.79365621474592	1.52173967348932	1.49360138731694	1.65891247789311	1.36268384797964	1.52863241225783	1.62335347304845	1.88902149642831	1.6733727029856	2.06216136092832	1.56367484462382	2.09711045369449	1.66739120293517	1.66015462042329	1.51480436406448	2.19779326631257	1.6494998442821	1.53218778451621	1.4497390892023	1.65725860223692	1.51381916725769	1.5818490329999	1.75861358039604	1.47493967946301	1.63222869908499	1.59297645548992	1.58796046438194	1.57996417688786	1.83318223176075	1.68266967341879
protein19	1.61619240606638	1.24365504867008	1.3927257844003	1.13765307108643	1.74089575644216	1.42557693364163	1.53576341293899	1.89572219367763	1.46185182381627	1.15684693783739	1.5550146896892	1.53436538321905	1.51055164003017	1.43732853492431	1.42882336432391	1.28489085172555	1.83435644386947	2.06026484054908	1.60922336035498	1.18294062387888	2.21817414210578	1.58986444160692	1.59623231668088	1.69164779144756	1.27146702738107	1.76868945307505	1.59522628087541	1.99135179923695	1.465353069771	1.74347586788101	1.85074826994972	1.95425007745691	1.91351439511708	1.76983516268651	1.44376230328708	1.72415147791541	1.78357196045054	1.95074399721555	1.75307773526108	2.14349635406418	2.11457569068248	1.56051484022929	1.88646223885059	1.8164385657701	1.93490021733008	2.1975595197336	1.87818968232597	1.52905594169791	1.52621737572103	1.62980719718478	1.64472910198762	1.43967909457929	1.3184241120535	1.45553972501392	1.28306803109323	1.53594020362936	1.36382032616448	1.62966990336204	1.34952727315516	1.77512222244279	1.25792718352388	1.88134165307349	1.48944977774272	1.5418543834693	1.49987712769956	1.9968082887936	1.64631664395016	1.30294896456379	1.21742646644296	1.4305094704607	1.3344157169924	1.53744060726503	1.48673237710556	1.48991113690947	1.62455275761433	1.40951698834938	1.48112972521113	1.52938183904798	1.8083153002334	1.68401909898232
protein20	1.43008304209628	1.538472967735	1.82889153487448	1.70922469303869	1.27793129370323	1.73052005905419	1.5240862011788	1.77999688489605	1.23950484893754	1.48743230117886	1.78917056105329	1.53915407982904	1.45885471011887	1.59669612963702	1.40836228518315	1.73247444155556	1.36041492391796	1.37809931973669	1.26489660419013	1.26244758572126	1.46004436013772	1.40909060208445	1.37909365827702	1.31666109607171	1.48029548901445	1.35724048998113	1.55567980339037	1.2193770974651	1.19035552524748	1.19191173859438	1.24677671505908	1.33172781199439	1.60536771970915	1.41025804337082	1.49137766445609	1.66799468491647	1.70191137471555	1.97057704707749	1.60549072143652	1.76104503029575	1.61284774073868	1.55006653095252	1.80870985204096	1.97303173301318	1.69310907988949	1.85817984209749	2.0427162782511	1.59668966179259	1.4027308215278	1.25468269064664	1.40711028827408	1.60056498229116	1.68171848713596	1.4382554508501	1.22004482368497	1.47978167563711	1.28403516926335	1.76976376383787	1.79017726619084	2.00466429903212	1.70263928252343	1.87155169467443	1.54636121708736	1.37837460199371	1.47391756615988	2.00910928531134	1.51526942971645	1.4941402770528	1.6034884366672	1.53222579601105	1.37464227182409	1.37422190958475	1.40152551750136	1.21766192580322	1.63129992847679	1.28642692771552	1.66299614822124	1.81197682665881	1.4614654403782	1.39733873065559
